n,min_hop_fixed,max_path_fixed,min_hop_demand,max_path_demand,inverse_capacity,shortest_widest
5,0.022900,0.105100,0.000000,0.000000,0.000000,0.000000
6,0.039000,0.146300,0.000000,0.000000,0.000000,0.000000
7,0.055000,0.189700,0.000400,0.000200,0.000200,0.000500
8,0.068700,0.223900,0.000800,0.001000,0.000500,0.000900
9,0.084700,0.262400,0.002200,0.004100,0.001900,0.003100
10,0.108300,0.298200,0.003400,0.005600,0.004600,0.003400
20,0.260200,0.502800,0.164700,0.193100,0.154700,0.175300
50,0.522200,0.710300,0.565100,0.570700,0.563100,0.563500
100,0.698800,0.815400,0.739500,0.742300,0.735400,0.737200
