n,min_hop_fixed,max_path_fixed,min_hop_demand,max_path_demand,inverse_capacity,shortest_widest
5,0.021400,0.100100,0.000000,0.000000,0.000000,0.000000
6,0.036400,0.150600,0.000000,0.000000,0.000000,0.000000
7,0.050200,0.194400,0.000000,0.000400,0.000100,0.000200
8,0.071600,0.230100,0.000700,0.000500,0.001000,0.001100
9,0.082000,0.259300,0.001500,0.001800,0.001100,0.002400
10,0.107000,0.297100,0.003600,0.006700,0.003900,0.005800
20,0.267600,0.503900,0.171400,0.189200,0.159100,0.165900
50,0.525300,0.702500,0.561400,0.566000,0.565900,0.560700
100,0.694800,0.813300,0.737600,0.745300,0.735700,0.739700
