n,min_hop_fixed,max_path_fixed,min_hop_demand,max_path_demand,inverse_capacity,shortest_widest
5,0.021400,0.109300,0.000000,0.000100,0.000000,0.000000
6,0.037100,0.147800,0.000000,0.000000,0.000000,0.000000
7,0.053100,0.189600,0.000300,0.000200,0.000100,0.000400
8,0.068700,0.228500,0.000600,0.000900,0.000300,0.000700
9,0.088400,0.265600,0.001400,0.002200,0.001500,0.001600
10,0.106000,0.294400,0.003600,0.004300,0.003300,0.003700
20,0.263900,0.496700,0.164300,0.190600,0.159000,0.169400
50,0.524400,0.712600,0.562300,0.572500,0.562700,0.558500
100,0.695800,0.813000,0.736400,0.742000,0.738800,0.733500
