n,min_hop_fixed,max_path_fixed,min_hop_demand,max_path_demand,inverse_capacity,shortest_widest
5,0.000400,0.005000,0.000000,0.000000,0.000000,0.000000
6,0.001100,0.005400,0.000000,0.000000,0.000000,0.000000
7,0.001400,0.006800,0.000000,0.000000,0.000000,0.000000
8,0.000900,0.011000,0.000000,0.000000,0.000000,0.000000
9,0.000800,0.015600,0.000000,0.000000,0.000000,0.000000
10,0.001900,0.013600,0.000000,0.000000,0.000000,0.000000
20,0.010500,0.053300,0.000000,0.000000,0.000000,0.000000
50,0.048400,0.180400,0.000900,0.001600,0.000800,0.001200
100,0.133900,0.341700,0.017100,0.030100,0.017200,0.024500
