n,min_hop_fixed,max_path_fixed,min_hop_demand,max_path_demand,inverse_capacity,shortest_widest
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000200,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000100,0.000100,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000100,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.000000,0.000700,0.000000,0.000000,0.000000,0.000000
50,0.000200,0.005300,0.000000,0.000000,0.000000,0.000000
100,0.002800,0.013700,0.000000,0.000000,0.000000,0.000000
