n,min_hop_fixed,max_path_fixed,min_hop_demand,max_path_demand,inverse_capacity,shortest_widest
5,0.9962,0.9980,0.9967,0.9973,0.9969,0.9969
10,0.9960,0.9984,0.9970,0.9972,0.9968,0.9973
20,0.9959,0.9982,0.9967,0.9972,0.9968,0.9971
50,0.9963,0.9977,0.9971,0.9971,0.9967,0.9971
100,0.9962,0.9978,0.9966,0.9974,0.9969,0.9972
