n,min_hop_fixed,max_path_fixed,min_hop_demand,max_path_demand,inverse_capacity,shortest_widest
5,0.0150,0.9142,0.8372,0.9119,0.9039,0.9088
10,0.0961,0.8705,0.9260,0.9211,0.8679,0.9221
20,0.2617,0.8735,0.9106,0.8802,0.8679,0.8798
50,0.5179,0.9065,0.9477,0.9570,0.9328,0.9525
100,0.6882,0.9224,0.9329,0.9324,0.9469,0.9306
