n,min_hop_fixed,max_path_fixed,min_hop_demand,max_path_demand,inverse_capacity,shortest_widest
5,0.0478,0.1675,0.0003,0.0007,0.0007,0.0007
10,0.1324,0.3369,0.0242,0.0416,0.0220,0.0303
20,0.2852,0.5218,0.4020,0.2869,0.2183,0.2294
50,0.5277,0.7159,0.9557,0.9793,0.5925,0.6065
100,0.6888,0.8121,0.9643,0.9879,0.9744,0.8253
