n,min_hop_fixed,max_path_fixed,min_hop_demand,max_path_demand,inverse_capacity,shortest_widest
5,0.023700,0.105300,0.000000,0.000000,0.000000,0.000000
6,0.036400,0.148900,0.000000,0.000000,0.334500,0.000000
7,0.053400,0.189600,0.843400,0.165700,0.530600,0.808700
8,0.068800,0.231600,0.439700,0.908800,0.775900,0.753700
9,0.090100,0.264900,0.814200,0.979700,0.905600,0.930100
10,0.106700,0.300400,0.934000,0.980300,0.927000,0.939500
20,0.263000,0.508700,0.995200,0.994900,0.995700,0.997000
50,0.531900,0.710400,0.997000,0.997700,0.996800,0.996000
100,0.696400,0.810700,0.996600,0.997200,0.996400,0.997200
